annex,entry_seq,ref_no,ref_inferred,status,amended_by,mid_amendments,pages,chemical_name,colour_index,inci_name,cas,ec,colour,product_type,max_concentration,other,wording,needs_review
IV,32,32,0,active,▼B,,390,"Disodium 6-hydroxy-5-[(2-
methoxy-4-sulphonato-m-tolyl)
azo]naphthalene-2-sulphonate",16035,,,247-368-0,Red,,,"Purity criteria as set out in
Commission Directive 95/
45/EC (E 129)",,0
IV,33,33,0,active,▼B,,390,"Trisodium 3-hydroxy-4-[(4'-
sulphonatonaphthyl)azo]naphthalene-2,7-disulphonate",16185,,,213-022-2,Red,,,"Purity criteria as set out in
Commission Directive 95/
45/EC (E 123)",,0
IV,34,34,0,active,▼B,,390,"Disodium 7-hydroxy-8-
(phenylazo)naphthalene-1,3-
disulphonate",16230,,,,Orange,"Not to be used in products
applied on mucous
membranes",,,,0
IV,35,35,0,active,▼B,,390,"Trisodium 1-(1-naphthylazo)-
2-hydroxynaphthalene-4',6,8-
trisulphonate and its insoluble
barium, strontium and
zirconium lakes, salts and
pigments",16255,,,220-036-2,Red,,,"Purity criteria as set out in
Commission Directive 95/
45/EC (E 124)",,0
IV,36,36,0,active,▼B,,391,"Tetrasodium 7-hydroxy-8-[(4-
sulphonato-1-naphthyl)azo]
naphthalene-1,3,6-trisulphonate",16290,,,,Red,,,,,0
IV,37,37,0,active,▼B,,391,"Disodium 5-amino-4-hydroxy-
3-(phenylazo)naphthalene-2,7-
disulphonate and its insoluble
barium, strontium and
zirconium lakes, salts and
pigments",17200,,,,Red,,,,,0
IV,38,38,0,active,▼B,,391,"Disodium 5-acetylamino-4-
hydroxy-3-(phenylazo)naphthalene-2,7-disulphonate",18050,,,223-098-9,Red,"Not to be used in products
applied on mucous
membranes",,"Purity criteria as set out in
Commission Directive 95/
45/EC (E 128)",,0
IV,39,39,0,active,▼B,,391,"2,7-Naphthalenedisulfonic
acid, 3-((4-cyclohexyl-2-
methylphenyl)azo)-4-hydroxy-
5-(((4-methylphenyl)sulfonyl)
amino)-, disodium salt",18130,,,,Red,Rinse-off products,,,,0
IV,40,40,0,active,▼B,,391,"Hydrogen bis[2-[(4,5-dihydro-
3-methyl-5-oxo-1-phenyl-1H-
pyrazol-4-yl)azo]benzoato(2-)]
chromate(1-)",18690,,,,Yellow,Rinse-off products,,,,0
IV,41,41,0,active,▼B,,392,"Disodium hydrogen bis[5-
chloro-3-[(4,5-dihydro-3-
methyl-5-oxo-1-phenyl-1H-
pyrazol-4-yl)azo]-2-hydroxybenzenesulphonato(3-)]
chromate(3-)",18736,,,,Red,Rinse-off products,,,,0
