annex,entry_seq,ref_no,seq,colour_index,inci_name,cas,ec,split_ok
V,41,39,1,,Methylchloroisothiazolinone (and) Methylisothiazolinone (17),"26172-55-4, 2682-20-4, 55965-84-9","247-500-7, 220-239-6",1
V,42,40-41,1,,,,,1
V,43,42,1,,Chlorhexidine,55-56-1,200-238-7,1
V,43,42,2,,Chlorhexidine Diacetate,56-95-1,200-302-4,1
V,43,42,3,,Chlorhexidine Digluconate,18472-51-0,242-354-0,1
V,43,42,4,,Chlorhexidine Dihydrochloride,3697-42-5,223-026-6,1
V,44,43,1,,Phenoxyisopropanol,770-35-4,212-222-7,1
V,45,44,1,,Behentrimonium chloride (15),17301-53-0,241-327-0,1
V,45,44,2,,cetrimonium bromide,57-09-0,200-311-3,1
V,45,44,3,,cetrimonium chlor- ide (16),112-02-7,203-928-6,1
V,45,44,4,,laurtrimonium bromide,1119-94-4,214-290-3,1
V,45,44,5,,laurtrimonium chloride,112-00-5,203-927-0,1
V,45,44,6,,steartrimonium bromide,1120-02-1,214-294-5,1
V,45,44,7,,steartrimonium chloride (16),112-03-8,203-929-1,1
V,46,45,1,,Dimethyl Oxazolidine,51200-87-4,257-048-2,1
V,47,46,1,,Diazolidinyl Urea,78491-02-8,278-928-2,1
V,48,47,1,,Hexamidine Hexamidine diisethionate Hexamidine paraben,"3811-75-4, 659-40-5, 93841-83-9","211-533-5, 299-055-3",0
V,49,48,1,,Glutaral,111-30-8,203-856-5,1
V,50,49,1,,7-Ethylbicyclooxazolidine,7747-35-5,231-810-4,1
V,51,50,1,,Chlorphenesin,104-29-0,203-192-6,1
V,52,51,1,,Sodium Hydroxymethylglycinate,70161-44-3,274-357-8,1
V,53,52,1,,Silver chloride,7783-90-6,232-033-3,1
V,54,53,1,,Benzethonium Chloride,121-54-0,204-479-9,1
V,55,54,1,,Benzalkonium chloride benzalkonium bromide benzalkonium saccharinate,"8001-54-5, 63449-41-2, 91080-29-4, 68989-01-5, 68424-85-1, 68391-01-5, 61789-71-7, 85409-22-9","264-151-6, 293-522-5, 273-545-7, 270-325-2, 269-919-4, 263-080-8, 287-089-1",0
V,56,55,1,,Benzylhemiformal,14548-60-8,238-588-8,1
V,57,56,1,,Iodopropynyl butylcarbamate,55406-53-6,259-627-5,1
V,58,57,1,,Methylisothiazoli- none (18),2682-20-4,220-239-6,1
V,59,58,1,,Ethyl Lauroyl Arginate HCl,60372-77-2,434-630-6,1
V,60,59,1,,Citric acid (and) Silver citrate,,460-890-5,1
V,61,60,1,,Hydroxyethoxyphenyl Butanone,569646-79-3,933-435-8,1
V,62,61,1,,Ammonium Silver Zinc Aluminium Silicate,130328-20-0,603-404-0,1
