annex,entry_seq,ref_no,tier_seq,tier,tier_source,product_type,max_concentration,max_conc_value,max_conc_unit,max_conc_basis,all_conc_values,other,wording
III,14,9a,2,b,label,"(b) Products
intended for
colouring
eyelashes",,,,,,"(b) Professional use
For (a) and (b): After
mixing under oxidative
conditions the maximum
concentration applied to hair
or eyelashes must not
exceed 2,0 % (calculated as
free base) or 3,6 % (calculated as sulfate salt)","(b) As from 3 March 2018, to be
printed on the label: The
mixing ratio.
‘ This product can cause
severe allergic reactions. Read
and follow instructions.
This product is not intended for
use on persons under the age of
16. Temporary “black henna”
tattoos may increase the risk of
allergy.
Eyelashes shall not be coloured
if the consumer:
— has a rash on the face or
sensitive, irritated and
damaged scalp,
— has experienced any
reaction after colouring hair
or eyelashes,
— has experienced a reaction
to a temporary “black
henna” tattoo in the past.
Rinse eyes immediately if
product comes into contact with
them.
Contains phenylenediamines
(toluenediamines).
Wear suitable gloves.
For professional use only’."
III,15,9b,1,,none,"Hair dye substance
in oxidative hair
dye products",,,,,,"As from 3 September 2017,
after mixing under oxidative
conditions the maximum
concentration applied to hair
must not exceed 1,0 %
— Do not use with nitrosating agents
— Maximum nitrosamine
content: 50 μg/kg
— Keep in nitrite-free
containers","As from 3 March 2018, to be
printed on the label:
The mixing ratio.
‘ Hair colourants can cause
severe allergic reactions.
Read and follow instructions.
This product is not intended for use
on persons under the age of 16.
Temporary “black henna” tattoos
may increase your risk of allergy.
Do not colour your hair if:
— you have a rash on your face or
sensitive, irritated and damaged
scalp,
— you have ever experienced any
reaction after colouring your
hair,
— you have experienced a reaction
to a temporary “black henna”
tattoo in the past’."
III,16,10,1,,none,,,,,,,,
III,17,11,1,,none,,"0,5 %",0.5,%,,,,Contains Dichlorophen
III,18,12,1,a,label,(a) Hair products,"(a) 12 % of
H2O2
(40 volumes), present
or released",12.0,%,40 volumes,,,"(a) (f) Wear suitable gloves
(a) (b) (c) (e)
Contains hydrogen peroxide
Avoid contact with eyes
Rinse immediately if product comes
into contact with them."
III,18,12,2,b,label,(b) Skin products,"(b) 4 % of
H2O2,
present or
released",4.0,%,,,,"(a) (b) (c) (e)
Contains hydrogen peroxide
Avoid contact with eyes
Rinse immediately if product comes
into contact with them."
III,18,12,3,c,label,"(c) Nail hardening
products","(c) 2 % of
H2O2,
present or
released",2.0,%,,,,"(a) (b) (c) (e)
Contains hydrogen peroxide
Avoid contact with eyes
Rinse immediately if product comes
into contact with them."
III,18,12,4,d,label,"(d) Oral products,
including
mouth rinse,
tooth paste and
tooth
whitening or
bleaching
products","(d) ≤ 0,1 % of
H2O2,
present or
released",0.1,%,,,,
III,18,12,5,e,label,"(e) Tooth
whitening or
bleaching
products","(e) > 0,1 % ≤
6 % of
H2O2,
present or
released",0.1,%,,"[0.1, 6.0]","(e) To be only sold to
dental practitioners. For
each cycle of use, first
use by dental practitioners as defined under
Directive 2005/36/EC of
the European Parliament
and of the Council (14)
or under their direct
supervision if an
equivalent level of
safety is ensured.
Afterwards to be
provided to the
consumer to complete
the cycle of use.
Not to be used on a
person under 18 years
of age.","(a) (b) (c) (e)
Contains hydrogen peroxide
Avoid contact with eyes
Rinse immediately if product comes
into contact with them.
(e) Concentration of H2O2 present
or released indicated in
percentage.
Not to be used on a person
under 18 years of age.
To be only sold to dental practitioners. For each cycle of use,
the first use to be only done by
dental practitioners or under
their direct supervision if an
equivalent level of safety is
ensured.
Afterwards to be provided to
the consumer to complete the
cycle of use."
III,18,12,6,f,label,"(f) Products
intended for
eyelashes","(f) 2 % of
H2O2,
present or
released",2.0,%,,,"(f) For professional use
only","(a) (f) Wear suitable gloves
f) To be printed on the label:
‘For professional use only.
Avoid contact with eyes.
Rinse eyes immediately if
product comes into contact with
them.
Contains hydrogen peroxide’"
III,19,13,1,,none,,,,,,,,
III,20,14,1,,none,"Artificial nail
systems","0,02 % (after
mixing for use)",0.02,%,"after
mixing for use",,Professional use only,"— For professional use only
— Avoid skin contact
— Read directions for use carefully"
III,21,15a,1,a,label,"(a) Nail cuticle
solvent","(a) 5 % (4)
2 % (4)
4,5 % (4)",5.0,%,,"[5.0, 2.0, 4.5]","General use
Professional use","(a) Contains alkali
Avoid contact with eyes
Can cause blindness
Keep out of reach of children
Contains alkali
Avoid contact with eyes
Can cause blindness
Keep out of reach of children
For professional use only
Avoid contact with eyes
Can cause blindness"
III,21,15a,2,b,label,"(b) Hair
straightener",,,,,,"General use
Professional use",
III,21,15a,3,c,label,"(c) pH adjuster
for depilatories",,,,,,"General use
Professional use
(c) pH < 12,7","(c) Keep out of reach of children
Avoid contact with eyes"
III,21,15a,4,d,label,"(d) Other uses as
pH adjuster",,,,,,"General use
Professional use
(d) pH < 11",
III,22,15b,1,a,label,"(a) Hair
straighteners","2 % (5)
4,5 % (5)",2.0,%,,"[2.0, 4.5]","General use
Professional use
pH < 12,7
pH < 11","(a) Contains alkali
Avoid contact with eyes
Can cause blindness
Keep out of reach of children
Avoid contact with eyes
Can cause blindness"
III,22,15b,2,b,label,"(b) pH adjuster
for depilatories","2 % (5)
4,5 % (5)",2.0,%,,"[2.0, 4.5]","General use
Professional use
pH < 12,7
pH < 11","(b) Contains alkali
Keep out of reach of children
Avoid contact with eyes"
III,22,15b,3,c,label,"(c) Other uses as
pH adjuster
(for rinse-off
products only)","2 % (5)
4,5 % (5)",2.0,%,,"[2.0, 4.5]","General use
Professional use
pH < 12,7
pH < 11",
III,23,15c,1,a,label,"(a) Hair
straighteners
containing
two
components:
calcium
hydroxide and
a guanidine
salt","(a) 7 % (as
calcium
hydroxide)",7.0,%,"calcium
hydroxide",,,"(a) Contains alkali
Avoid contact with eyes
Keep out of reach of children
Can cause blindness"
III,23,15c,2,b,label,"(b) pH adjuster
for depilatories",,,,,,"(b) pH < 12,7","(b) Contains alkali
Keep out of reach of children
Avoid contact with eyes"
III,23,15c,3,c,label,"(c) Other uses (e.
g. pH adjuster,
processing
aid)",,,,,,(c) pH < 11,
III,24,15d,1,,gap,Callosity softener/,"1,5 % (4)",1.5,%,,,,"Contains alkali
Avoid contact with eyes
Keep out of reach of children
Read directions for use carefully"
III,24,15d,2,,gap,remover,,,,,,,"Contains alkali
Avoid contact with eyes
Keep out of reach of children
Read directions for use carefully"
III,25,16,1,,none,"Hair dye substance
in oxidative hair
dye products",,,,,,"After mixing under
oxidative conditions the
maximum concentration
applied to hair must not
exceed 2,0 %","To be printed on the label:
The mixing ratio.
‘ Hair colorants can cause severe
allergic reactions.
Read and follow instructions.
This product is not intended for use
on persons under the age of 16.
Temporary “black henna” tattoos
may increase your risk of allergy.
Do not colour your hair if:
— you have a rash on your face or
sensitive, irritated and damaged
scalp,
— you have ever experienced any
reaction after colouring your
hair,
— you have experienced a
reaction to a temporary “black
henna” tattoo in the past.’"
III,26,17,1,,none,Rust inhibitor,"0,2 %",0.2,%,,,"Not to be used with
secondary and/or tertiary
amines or other substances
forming nitrosamines",
III,27,18,1,,none,Rust inhibitor,"0,3 %",0.3,%,,,,
III,28,19,1,,none,,,,,,,,
III,29,20,1,,none,,,,,,,,
III,30,21,1,a,label,"(a) Hair rinse-off
products","(a) 0,5 % (as
quinine
base)",0.5,%,"quinine
base",,,
III,30,21,2,b,label,"(b) Hair leave-on
products","(b) 0,2 % (as
quinine
base)",0.2,%,"quinine
base",,,
III,31,22,1,a,label,"(a) Hair dye
substance in
oxidative hair
dye products
►M4 (b) Products
intended
for
colouring
eyelashes
►M4 (c) Hair
lotions
and
shampoos",,,,,,"For (a) and (b):
After mixing under
oxidative conditions the
maximum concentration
applied to hair or eyelashes
must not exceed 1,25 % ◄","►M4 (a) To be printed on the
label:
The mixing ratio.
‘ Hair colorants can
cause severe allergic
reactions.
Read and follow instructions.
This product is not
intended for use on
persons under the age
of 16.
Temporary “black
henna” tattoos may
increase your risk of
allergy.
Do not colour your hair
if:
— you have a rash on
your face or
sensitive, irritated
and damaged scalp,
— you have ever
experienced any
reaction after
colouring your hair,
— you have experienced
a reaction to a
temporary “black
henna” tattoo in the
past.
Contains resorcinol.
Rinse hair well after
application.
Rinse eyes immediately
if product comes into
contact with them.
►M47 Do not use to
dye eyelashes.’ ◄ ◄
►M4 (b) To be printed on the
label:
The mixing ratio.
‘For professional use
only.
Contains resorcinol.
This product can
cause severe allergic
reactions.
Read and follow instructions.
This product is not
intended for use on
persons under the age
of 16.
Temporary “black
henna” tattoos may
increase the risk of
allergy.
Eyelashes shall not be
coloured if the
consumer:
— has a rash on the face
or sensitive, irritated
and damaged scalp,
— has experienced any
reaction after
colouring hair or
eyelashes,
— has experienced a
reaction to a
temporary “black
henna” tattoo in the
past.
Rinse eyes immediately
if product comes into
contact with them.’ ◄
►M4 (c) Contains resorcinol. ◄"
III,31,22,2,b,label,,,,,,,"For (a) and (b):
After mixing under
oxidative conditions the
maximum concentration
applied to hair or eyelashes
must not exceed 1,25 % ◄
(b) For professional use
only. ◄","►M4 (a) To be printed on the
label:
The mixing ratio.
‘ Hair colorants can
cause severe allergic
reactions.
Read and follow instructions.
This product is not
intended for use on
persons under the age
of 16.
Temporary “black
henna” tattoos may
increase your risk of
allergy.
Do not colour your hair
if:
— you have a rash on
your face or
sensitive, irritated
and damaged scalp,
— you have ever
experienced any
reaction after
colouring your hair,
— you have experienced
a reaction to a
temporary “black
henna” tattoo in the
past.
Contains resorcinol.
Rinse hair well after
application.
Rinse eyes immediately
if product comes into
contact with them.
►M47 Do not use to
dye eyelashes.’ ◄ ◄
►M4 (b) To be printed on the
label:
The mixing ratio.
‘For professional use
only.
Contains resorcinol.
This product can
cause severe allergic
reactions.
Read and follow instructions.
This product is not
intended for use on
persons under the age
of 16.
Temporary “black
henna” tattoos may
increase the risk of
allergy.
Eyelashes shall not be
coloured if the
consumer:
— has a rash on the face
or sensitive, irritated
and damaged scalp,
— has experienced any
reaction after
colouring hair or
eyelashes,
— has experienced a
reaction to a
temporary “black
henna” tattoo in the
past.
Rinse eyes immediately
if product comes into
contact with them.’ ◄
►M4 (c) Contains resorcinol. ◄"
III,31,22,3,c,label,,"(c) 0,5 % ◄",0.5,%,,,"For (a) and (b):
After mixing under
oxidative conditions the
maximum concentration
applied to hair or eyelashes
must not exceed 1,25 % ◄","►M4 (a) To be printed on the
label:
The mixing ratio.
‘ Hair colorants can
cause severe allergic
reactions.
Read and follow instructions.
This product is not
intended for use on
persons under the age
of 16.
Temporary “black
henna” tattoos may
increase your risk of
allergy.
Do not colour your hair
if:
— you have a rash on
your face or
sensitive, irritated
and damaged scalp,
— you have ever
experienced any
reaction after
colouring your hair,
— you have experienced
a reaction to a
temporary “black
henna” tattoo in the
past.
Contains resorcinol.
Rinse hair well after
application.
Rinse eyes immediately
if product comes into
contact with them.
►M47 Do not use to
dye eyelashes.’ ◄ ◄
►M4 (b) To be printed on the
label:
The mixing ratio.
‘For professional use
only.
Contains resorcinol.
This product can
cause severe allergic
reactions.
Read and follow instructions.
This product is not
intended for use on
persons under the age
of 16.
Temporary “black
henna” tattoos may
increase the risk of
allergy.
Eyelashes shall not be
coloured if the
consumer:
— has a rash on the face
or sensitive, irritated
and damaged scalp,
— has experienced any
reaction after
colouring hair or
eyelashes,
— has experienced a
reaction to a
temporary “black
henna” tattoo in the
past.
Rinse eyes immediately
if product comes into
contact with them.’ ◄
►M4 (c) Contains resorcinol. ◄"
III,32,23,1,a,label,(a) Depilatories,"(a) 2 % (as
sulphur)",2.0,%,sulphur,,"pH ≤ 12,7","(a) (b) Keep out of reach of
children
Avoid contact with eyes"
III,32,23,2,b,label,(b) Depilatories,"(b) 6 % (as
sulphur)",6.0,%,sulphur,,"pH ≤ 12,7","(a) (b) Keep out of reach of
children
Avoid contact with eyes"
III,33,24,1,a,label,"(a) Toothpaste
intended for
users above 1
year of age","(a) 1 % (as
zinc)",1.0,%,zinc,,,
III,33,24,2,b,label,"(b) Toothpaste
intended for
children
between 6
months and 1
year of age","(b) 0,72 % (as
zinc)",0.72,%,zinc,,,
III,33,24,3,c,label,"(c) Mouthwash
intended for
users above 6
years of age","(c) 0,1 % (as
zinc)",0.1,%,zinc,,,
